9.997076392173767090e-01,2.908051328631700017e-06,8.856761269271373749e-06,1.596142062965100195e-08,2.805519907269626856e-04,1.654203683754129628e-12
6.925139110535383224e-03,9.930623173713684082e-01,1.391107562476179282e-09,8.802403499430511147e-06,5.522728656615072396e-07,3.192059466528007761e-06
7.414170540869235992e-03,1.771291380237016710e-07,9.693139581941068172e-04,2.050569158917880941e-10,9.916163086891174316e-01,1.431469309406963042e-12
1.936918497085571289e-02,9.788165092468261719e-01,4.569856173475272954e-07,1.021508476696908474e-03,1.844656981120351702e-05,7.739152060821652412e-04
3.227391839027404785e-02,9.257056117057800293e-01,4.741383891087025404e-04,1.090882997959852219e-02,8.527311496436595917e-03,2.211028151214122772e-02
8.380571614452492213e-08,1.574876051790852216e-08,9.946194887161254883e-01,5.150457378476858139e-03,2.298283652635291219e-04,1.452055755635228707e-07
4.871497750282287598e-01,1.659717099755653180e-06,5.052712280303239822e-03,8.770959958326329797e-09,5.077957510948181152e-01,1.093318491296457751e-11
7.853466854612634052e-07,8.072067052125930786e-03,2.951037004095269367e-06,3.574994159862399101e-03,6.407817181752761826e-06,9.883428215980529785e-01
3.559319505797020611e-09,5.302948993630707264e-04,3.295407111636450281e-07,1.810915768146514893e-03,9.643663361202925444e-07,9.976574182510375977e-01
3.559319505797020611e-09,5.302948993630707264e-04,3.295407111636450281e-07,1.810915768146514893e-03,9.643663361202925444e-07,9.976574182510375977e-01
7.399391324725002050e-05,2.038680715486407280e-03,4.992424976080656052e-03,9.821840524673461914e-01,3.929616068489849567e-04,1.031793747097253799e-02
7.399391324725002050e-05,2.038680715486407280e-03,4.992424976080656052e-03,9.821840524673461914e-01,3.929616068489849567e-04,1.031793747097253799e-02
2.085158296027955771e-10,5.035983485868200660e-05,4.859071850660257041e-06,5.060800164937973022e-02,7.809626936250424478e-07,9.493359923362731934e-01
9.814652204513549805e-01,1.844517886638641357e-02,3.024593070222181268e-06,4.905058813164941967e-05,3.730390380951575935e-05,1.346424767234566389e-07
1.456097525078803301e-04,3.713503282654073701e-09,1.132493605837225914e-03,9.069857712096229818e-12,9.987218976020812988e-01,4.594780366731429644e-14
9.949266910552978516e-01,5.004432518035173416e-03,2.748469114521867596e-06,1.447333488613367081e-06,6.467982893809676170e-05,3.055018282793753315e-08
4.124488309025764465e-02,1.378516003569529857e-07,8.510884828865528107e-03,2.069608484589480213e-09,9.502441287040710449e-01,2.153091940848561592e-12
6.291530095040798187e-03,8.624238520860671997e-02,1.803709892556071281e-03,9.045472145080566406e-01,2.849875891115516424e-04,8.301173220388591290e-04
1.896099455223065888e-08,2.773629148578038439e-06,2.000408321619033813e-01,7.931243181228637695e-01,3.874008834827691317e-04,6.444649305194616318e-03
9.936723709106445312e-01,9.190828677674289793e-06,3.306067956145852804e-04,8.753706026709551224e-08,5.987823009490966797e-03,7.293544240782878774e-12
1.400862714717732160e-07,6.530454044195721508e-08,9.035354256629943848e-01,9.625828266143798828e-02,2.039623068412765861e-04,2.148639168808585964e-06
5.049831271171569824e-01,4.935786426067352295e-01,5.012714154872810468e-06,1.391436439007520676e-03,1.739840263326186687e-05,2.438703631923999637e-05
2.676385065569775179e-06,1.173605960502754897e-05,6.504628062248229980e-01,3.486052453517913818e-01,7.434888975694775581e-04,1.739973231451585889e-04
2.326976954936981201e-01,2.559967288107145578e-05,8.093281090259552002e-02,1.454908442610758357e-06,6.863424181938171387e-01,1.779844827076715319e-09
1.590688899159431458e-02,6.232316991372499615e-07,8.527493337169289589e-04,1.920306358371703936e-09,9.832398295402526855e-01,2.485471203850231348e-11
2.885114369632901798e-08,3.424510008898096203e-09,9.910360574722290039e-01,8.855135180056095123e-03,1.086724514607340097e-04,9.894894503759132931e-08
