Epoch,UnsupervisedLoss
1,0.10409212112426758
2,0.09725743532180786
3,0.09075736999511719
4,0.08494281768798828
5,0.07981055974960327
6,0.07510137557983398
7,0.07048594951629639
8,0.06569701433181763
9,0.06054043769836426
10,0.05491340160369873
11,0.04878193140029907
12,0.04215019941329956
13,0.0350608229637146
14,0.027558743953704834
15,0.01970595121383667
16,0.011573076248168945
17,0.00323641300201416
18,-0.005227327346801758
19,-0.013750553131103516
20,-0.022249996662139893
21,-0.030655503273010254
22,-0.038885295391082764
23,-0.046846985816955566
24,-0.05441617965698242
25,-0.06149923801422119
26,-0.06803810596466064
27,-0.07397967576980591
28,-0.07931709289550781
29,-0.08409774303436279
30,-0.08840209245681763
31,-0.09234285354614258
32,-0.09599840641021729
33,-0.09940874576568604
34,-0.10260307788848877
35,-0.10564577579498291
36,-0.10862141847610474
37,-0.1116178035736084
38,-0.11470228433609009
39,-0.11793994903564453
40,-0.12139075994491577
41,-0.12513095140457153
42,-0.12922102212905884
43,-0.13369005918502808
44,-0.1385049819946289
45,-0.1435171365737915
46,-0.14844447374343872
47,-0.1529768705368042
48,-0.15704387426376343
49,-0.1610897183418274
50,-0.16567230224609375
51,-0.170926034450531
52,-0.17652958631515503
53,-0.182059645652771
54,-0.1873776912689209
55,-0.19260799884796143
56,-0.19784122705459595
57,-0.20298129320144653
58,-0.20784473419189453
59,-0.21233487129211426
60,-0.21652984619140625
61,-0.22054946422576904
62,-0.2244313359260559
63,-0.22810161113739014
64,-0.2314736247062683
65,-0.23455357551574707
66,-0.23743468523025513
67,-0.24017590284347534
68,-0.24275946617126465
69,-0.2451452612876892
70,-0.24734258651733398
71,-0.24939996004104614
72,-0.2513788342475891
73,-0.25329411029815674
74,-0.25512659549713135
75,-0.2568490505218506
76,-0.2584609389305115
77,-0.25999927520751953
78,-0.2614821195602417
79,-0.2629076838493347
80,-0.26426392793655396
81,-0.2655665874481201
82,-0.2668309211730957
83,-0.2680748701095581
84,-0.2693018317222595
85,-0.27050912380218506
86,-0.2716909646987915
87,-0.27285003662109375
88,-0.2739925980567932
89,-0.2751275300979614
90,-0.2762613892555237
91,-0.27740031480789185
92,-0.2785536050796509
93,-0.2797326445579529
94,-0.2809412479400635
95,-0.2821958065032959
96,-0.2835071086883545
97,-0.28488051891326904
98,-0.28633201122283936
99,-0.28787899017333984
100,-0.28952938318252563
101,-0.29129165410995483
102,-0.29314619302749634
103,-0.2950626611709595
104,-0.2970072627067566
105,-0.29895514249801636
106,-0.30091482400894165
107,-0.3029448390007019
108,-0.3051268458366394
109,-0.3075052499771118
110,-0.31003737449645996
111,-0.31264978647232056
112,-0.31531447172164917
113,-0.31807392835617065
114,-0.32095450162887573
115,-0.3239511251449585
116,-0.32703399658203125
117,-0.3302009105682373
118,-0.33348798751831055
119,-0.3369631767272949
120,-0.3406696319580078
121,-0.3445523679256439
122,-0.3485003709793091
123,-0.3524761497974396
124,-0.35658419132232666
125,-0.360956072807312
126,-0.365572452545166
127,-0.3703296482563019
128,-0.3751095235347748
129,-0.37993860244750977
130,-0.3849196135997772
131,-0.38999143242836
132,-0.39500123262405396
133,-0.39991095662117004
134,-0.4048618674278259
135,-0.4098545014858246
136,-0.4147232472896576
137,-0.4194766581058502
138,-0.4242190718650818
139,-0.4288669228553772
140,-0.43334415555000305
141,-0.4377671480178833
142,-0.44212931394577026
143,-0.4463288486003876
144,-0.4504392743110657
145,-0.45449498295783997
146,-0.45842596888542175
147,-0.4622633457183838
148,-0.4660409092903137
149,-0.46967655420303345
150,-0.47321459650993347
151,-0.47669920325279236
